time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
86.62,17415.3,17385.856499999998,-257.0,106.88779163215975,-175.00000000002547,96.0,-47.0,1,0,257.0,123.87083333329065,122.01008333333321,19368.0,0.4718,25923.0,127.4,0.0,-31678.0
86.64,17415.3,17383.415,-262.0,111.40017953306898,-300.00000000006,101.0,-47.0,1,0,262.0,122.07499999995343,122.01298611111105,19368.0,0.4718,25918.0,126.7,0.0,-31724.0
86.66,17407.2,17380.9735,-269.0,115.3819743287486,-275.0000000000109,103.0,-52.0,1,0,269.0,121.02083333331393,122.02118055555562,19359.8,0.472,25913.0,125.5,0.0,-31770.0
86.68,17407.2,17378.574166666665,-273.0,115.6027681329474,-99.9999999999136,100.0,-58.0,1,0,273.0,119.96666666661622,122.02699999999992,19359.8,0.472,25907.0,124.5,0.0,-31816.0
86.7,17335.1,17376.174833333334,-273.0,112.05802068571441,125.00000000002456,94.0,-61.0,1,0,273.0,121.02499999990687,122.03044444444414,19287.8,0.4734,25902.0,124.4,0.0,-31862.0
86.72,17335.1,17373.73316666667,-268.0,108.72442227944924,250.00000000005002,90.0,-61.0,1,0,268.0,122.08333333348855,122.02982638888885,19287.8,0.4734,25897.0,125.3,0.0,-31908.0
86.74,17325.0,17371.291499999996,-263.0,105.152270541344,175.00000000002638,89.0,-56.0,1,0,263.0,117.4291666666395,122.02514583333357,19277.6,0.4736,25891.0,126.9,0.0,-31954.0
86.76,17325.0,17369.036000000004,-261.0,105.58882516630251,-7.185008144006133e-11,93.0,-50.0,1,0,261.0,112.77499999984866,122.01998611111107,19277.6,0.4736,25886.0,128.9,0.0,-32000.0
86.78,17427.5,17366.7805,-263.0,110.4943437466371,-175.00000000003547,100.0,-47.0,1,0,263.0,120.1333333334187,122.01434722222203,19380.2,0.4716,25881.0,130.5,0.0,-32046.0
86.8,17427.5,17364.230666666666,-268.0,115.45128842936315,-250.00000000005002,105.0,-48.0,1,0,268.0,127.49166666675592,122.02673611111095,19380.2,0.4716,25875.0,131.4,0.0,-32091.0
86.82,17350.3,17361.680833333332,-273.0,118.51160280748886,-200.00000000000364,106.0,-53.0,1,0,273.0,127.34166666661622,122.0571458333332,19303.0,0.4731,25870.0,131.4,0.0,-32137.0
86.84,17350.3,17359.137,-276.0,117.33712115098103,-24.99999999990723,102.0,-58.0,1,0,276.0,127.19166666665114,122.06342361111088,19303.0,0.4731,25864.0,131.1,0.0,-32183.0
86.86,17260.2,17356.593166666666,-274.0,112.89818421923357,175.00000000003456,95.0,-61.0,1,0,274.0,119.4916666666395,122.04557638888839,19212.8,0.4749,25859.0,130.6,0.0,-32229.0
86.88,17260.2,17354.357333333333,-269.0,107.61505470890214,249.9999999999609,90.0,-59.0,1,0,269.0,111.79166666662786,122.02156249999932,19212.8,0.4749,25854.0,130.4,0.0,-32275.0
86.9,17368.6,17352.1215,-264.0,104.62313319720452,174.99999999991905,89.0,-55.0,1,0,264.0,117.20833333325572,121.99138194444396,19321.2,0.4728,25848.0,129.9,0.0,-32321.0
86.92,17368.6,17349.669,-262.0,106.94391053257777,0.0,94.0,-51.0,1,0,262.0,122.62500000011642,121.97897222222207,19321.2,0.4728,25843.0,129.0,0.0,-32367.0
86.94,17360.5,17347.2165,-264.0,111.80339887498948,-175.00000000003456,100.0,-50.0,1,0,264.0,120.85833333333721,121.984333333333,19313.1,0.4729,25838.0,127.2,0.0,-32413.0
86.96,17360.5,17344.83466666667,-269.0,117.17081547894082,-299.99999999991724,105.0,-52.0,1,0,269.0,119.09166666667443,121.97942361111063,19313.1,0.4729,25832.0,124.7,0.0,-32459.0
86.98,17258.1,17342.452833333333,-276.0,118.59595271340417,-249.99999999988995,104.0,-57.0,1,0,276.0,121.45000000006985,121.96424305555507,19210.8,0.4749,25827.0,121.8,0.0,-32504.0
87.0,17258.1,17339.976666666666,-279.0,116.81181447096864,-25.000000000005457,99.0,-62.0,1,0,279.0,123.80833333329065,121.94024999999937,19210.8,0.4749,25821.0,119.4,0.0,-32550.0
87.02,17291.5,17337.500500000002,-277.0,113.46365056704283,174.99999999991905,93.0,-65.0,1,0,277.0,124.28333333338378,121.90744444444397,19244.2,0.4743,25816.0,118.4,0.0,-32596.0
